epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.241,2.49257,3.65568,2.11606,0.00711,0.75152,0.21542,0.0647,2.11379,3.79204,1.6951,0.0003334,0.0003334,0.0003334
2,276.752,2.24658,2.67508,1.85059,0.00561,0.58723,0.19694,0.05016,2.10895,3.69026,1.77548,0.000615806,0.000615806,0.000615806
3,404.639,2.19402,2.45649,1.84114,0.43693,0.10998,0.31524,0.0917,2.15603,3.1257,1.65166,0.000828899,0.000828899,0.000828899
4,531.227,2.25024,2.33859,1.7943,0.56342,0.21296,0.31389,0.0853,2.25282,3.15283,1.85403,0.000972678,0.000972678,0.000972678
5,661.718,2.23471,2.27007,1.825,0.52524,0.41725,0.44248,0.14085,2.23842,2.52393,1.82202,0.00100687,0.00100687,0.00100687
6,795.32,2.19663,2.1886,1.86679,0.54882,0.50331,0.54575,0.17444,2.23595,2.27525,1.80546,0.000841835,0.000841835,0.000841835
7,925.194,2.17217,2.03505,1.76896,0.63318,0.56678,0.57029,0.16328,2.30502,2.17701,1.80076,0.000676802,0.000676802,0.000676802
8,1059.8,2.15452,1.92378,1.74089,0.69842,0.6142,0.63217,0.17303,2.35498,2.11426,1.88011,0.000511769,0.000511769,0.000511769
9,1208.46,2.14337,1.84123,1.76273,0.67301,0.61623,0.65629,0.19557,2.34378,2.07741,1.91428,0.000346736,0.000346736,0.000346736
10,1356.06,2.11087,1.82617,1.71429,0.69154,0.61714,0.6526,0.20835,2.2991,1.9962,1.86913,0.000181703,0.000181703,0.000181703
